system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;69;3944;index;0.0002535497;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;70;416;index;0.0024038462;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;71;1;index;1;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;72;14614;index;6.84275352401806E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;73;10654;index;9.38614604843251E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;74;5812;index;0.0001720578;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;75;12212;index;8.18866688503112E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;76;7071;index;0.0001414227;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;77;609;index;0.0016420361;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;78;7094;index;0.0001409642;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;79;1450;index;0.0006896552;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;80;3912;index;0.0002556237;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;81;1414;index;0.0007072136;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;82;103;index;0.0097087379;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;83;1;index;1;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;84;6;index;0.1666666667;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;85;3615;index;0.0002766252;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;86;1446;index;0.0006915629;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;87;3729;index;0.0002681684;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;88;33452;index;2.9893578859261E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;89;5;index;0.2;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;90;6759;index;0.0001479509;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;91;9761;index;0.0001024485;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;92;13688;index;7.30566919929866E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;93;13502;index;7.40631017627018E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;94;1074;index;0.0009310987;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;95;1521;index;0.0006574622;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;96;817;index;0.0012239902;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;97;2912;index;0.0003434066;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;98;7045;index;0.0001419446;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;99;2847;index;0.0003512469;0.0261114698
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;1;326;index;0.0030674847;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;2;101;index;0.0099009901;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;3;2582;index;0.0003872967;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;4;336;index;0.0029761905;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;5;1854;index;0.0005393743;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;6;415;index;0.0024096386;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;7;2195;index;0.0004555809;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;8;1209;index;0.0008271299;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;9;854;index;0.0011709602;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;10;2427;index;0.0004120313;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;11;1004;index;0.0009960159;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;12;846;index;0.0011820331;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;13;94;index;0.0106382979;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;14;47;index;0.0212765957;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;15;796;index;0.0012562814;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;16;521;index;0.0019193858;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;17;951;index;0.0010515247;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;18;2090;index;0.0004784689;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;19;876;index;0.0011415525;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;20;704;index;0.0014204545;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;21;733;index;0.0013642565;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;22;40;index;0.025;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;23;1148;index;0.0008710801;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;24;526;index;0.0019011407;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;25;186;index;0.0053763441;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;26;589;index;0.0016977929;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;27;2594;index;0.000385505;
