system;query;lda;selected-ir;R-Rank;M-R-Rank
OpenJPA;36;2147483647;lda;4.6566128752458E-010;
OpenJPA;37;2147483647;lda;4.6566128752458E-010;
OpenJPA;38;4758;lda;0.0002101723;
OpenJPA;39;432;lda;0.0023148148;
OpenJPA;40;69;lda;0.0144927536;
OpenJPA;41;104;lda;0.0096153846;
OpenJPA;42;124;lda;0.0080645161;
OpenJPA;43;4774;lda;0.000209468;
OpenJPA;44;2008;lda;0.000498008;
OpenJPA;45;3700;lda;0.0002702703;
OpenJPA;46;1969;lda;0.000507872;
OpenJPA;47;2174;lda;0.0004599816;
OpenJPA;48;2147483647;lda;4.6566128752458E-010;
OpenJPA;49;11185;lda;8.94054537326777E-005;
OpenJPA;50;916;lda;0.0010917031;
OpenJPA;51;4712;lda;0.0002122241;
OpenJPA;52;350;lda;0.0028571429;
OpenJPA;53;212;lda;0.0047169811;
OpenJPA;54;871;lda;0.0011481056;
OpenJPA;55;2147483647;lda;4.6566128752458E-010;
OpenJPA;56;3027;lda;0.0003303601;
OpenJPA;57;635;lda;0.0015748031;
OpenJPA;58;2147483647;lda;4.6566128752458E-010;
OpenJPA;59;8210;lda;0.0001218027;
OpenJPA;60;2147483647;lda;4.6566128752458E-010;
OpenJPA;61;2147483647;lda;4.6566128752458E-010;
OpenJPA;62;22030;lda;4.53926463912846E-005;
OpenJPA;63;2147483647;lda;4.6566128752458E-010;
OpenJPA;64;6296;lda;0.000158831;
OpenJPA;65;4520;lda;0.0002212389;
OpenJPA;66;2147483647;lda;4.6566128752458E-010;
OpenJPA;67;2147483647;lda;4.6566128752458E-010;
OpenJPA;68;1101;lda;0.0009082652;
OpenJPA;69;3029;lda;0.000330142;
OpenJPA;70;166;lda;0.0060240964;
OpenJPA;71;336;lda;0.0029761905;
OpenJPA;72;3281;lda;0.0003047851;
OpenJPA;73;2147483647;lda;4.6566128752458E-010;
OpenJPA;74;9976;lda;0.0001002406;
OpenJPA;75;2147483647;lda;4.6566128752458E-010;
OpenJPA;76;600;lda;0.0016666667;
OpenJPA;77;367;lda;0.0027247956;
OpenJPA;78;2147483647;lda;4.6566128752458E-010;
OpenJPA;79;253;lda;0.0039525692;
