system;query;lda;selected-ir;R-rank;M-R-rank
OpenJPA;65;4522;lda;0.0002211411;
OpenJPA;66;2547;lda;0.0003926188;
OpenJPA;67;3212;lda;0.0003113325;
OpenJPA;68;1028;lda;0.0009727626;
OpenJPA;69;3763;lda;0.0002657454;
OpenJPA;70;180;lda;0.0055555556;
OpenJPA;71;393;lda;0.0025445293;
OpenJPA;72;5351;lda;0.000186881;
OpenJPA;73;2147483647;lda;4.6566128752458E-010;
OpenJPA;74;3176;lda;0.0003148615;
OpenJPA;75;2147483647;lda;4.6566128752458E-010;
OpenJPA;76;390;lda;0.0025641026;
OpenJPA;77;221;lda;0.0045248869;
OpenJPA;78;2147483647;lda;4.6566128752458E-010;
OpenJPA;79;1181;lda;0.0008467401;
OpenJPA;80;3626;lda;0.000275786;
OpenJPA;81;811;lda;0.0012330456;
OpenJPA;82;216;lda;0.0046296296;
OpenJPA;83;114;lda;0.0087719298;
OpenJPA;84;17;lda;0.0588235294;
OpenJPA;85;1995;lda;0.0005012531;
OpenJPA;86;226;lda;0.0044247788;
OpenJPA;87;1856;lda;0.0005387931;
OpenJPA;88;4167;lda;0.0002399808;
OpenJPA;89;2392;lda;0.0004180602;
OpenJPA;90;2147483647;lda;4.6566128752458E-010;
OpenJPA;91;2147483647;lda;4.6566128752458E-010;
OpenJPA;92;14170;lda;7.05716302046577E-005;
OpenJPA;93;2147483647;lda;4.6566128752458E-010;
OpenJPA;94;2147483647;lda;4.6566128752458E-010;
OpenJPA;95;1262;lda;0.000792393;
OpenJPA;96;445;lda;0.002247191;
OpenJPA;97;1413;lda;0.0007077141;
OpenJPA;98;3367;lda;0.0002970003;
OpenJPA;99;1406;lda;0.0007112376;0.0031272876
FileZilla;1;269;lda;0.0037174721;
FileZilla;2;35;lda;0.0285714286;
FileZilla;3;201;lda;0.0049751244;
FileZilla;4;31;lda;0.0322580645;
FileZilla;5;374;lda;0.0026737968;
FileZilla;6;2;lda;0.5;
FileZilla;7;277;lda;0.0036101083;
FileZilla;8;174;lda;0.0057471264;
FileZilla;9;2147483647;lda;4.6566128752458E-010;
FileZilla;10;692;lda;0.0014450867;
FileZilla;11;188;lda;0.0053191489;
FileZilla;12;229;lda;0.0043668122;
FileZilla;13;2147483647;lda;4.6566128752458E-010;
FileZilla;14;272;lda;0.0036764706;
FileZilla;15;460;lda;0.002173913;
FileZilla;16;65;lda;0.0153846154;
FileZilla;17;1660;lda;0.0006024096;
FileZilla;18;2147483647;lda;4.6566128752458E-010;
FileZilla;19;23;lda;0.0434782609;
FileZilla;20;44;lda;0.0227272727;
FileZilla;21;15;lda;0.0666666667;
FileZilla;22;80;lda;0.0125;
FileZilla;23;68;lda;0.0147058824;
FileZilla;24;75;lda;0.0133333333;
FileZilla;25;422;lda;0.0023696682;
FileZilla;26;67;lda;0.0149253731;
FileZilla;27;556;lda;0.0017985612;
FileZilla;28;120;lda;0.0083333333;
FileZilla;29;2147483647;lda;4.6566128752458E-010;0.0281158597
Derby;1;10387;lda;9.62741888899586E-005;
Derby;2;19728;lda;5.06893755068938E-005;
Derby;3;5819;lda;0.0001718508;
Derby;4;4207;lda;0.0002376991;
Derby;5;3666;lda;0.0002727769;
Derby;6;4525;lda;0.0002209945;
